iter	RMSE
0	0.3976318376
1	0.3948542686
2	0.3920881856
3	0.3892282723
4	0.3863529062
5	0.3837645864
6	0.3809481005
7	0.378262779
8	0.3755814085
9	0.3728932543
10	0.3702908785
11	0.3676668443
12	0.3650976285
13	0.3627174284
14	0.3602051495
15	0.3576267627
16	0.3552900321
17	0.3529319161
18	0.3504947792
19	0.3480945128
20	0.345700125
21	0.3432899788
22	0.3409992368
23	0.3386594702
24	0.3364505881
25	0.3342924625
26	0.3320408738
27	0.3298482926
28	0.3276535098
29	0.3255336382
30	0.3233269208
31	0.3212136058
32	0.3190050076
33	0.3169427508
34	0.3148733988
35	0.3127575059
36	0.3106836814
37	0.3086768558
38	0.3066245305
39	0.304823239
40	0.3029720204
41	0.301034771
42	0.2990540581
43	0.2971920823
44	0.2953625445
45	0.2935982211
46	0.2917394589
47	0.2898821581
48	0.2880042651
49	0.2863882777
50	0.2846918389
51	0.2830557747
52	0.2813011924
53	0.2797888971
54	0.2781264255
55	0.2764843224
56	0.2748333627
57	0.2731954813
58	0.2716045798
59	0.2699738239
60	0.2683606987
61	0.2668412823
62	0.2652429405
63	0.2637995632
64	0.262285561
65	0.2607551147
66	0.2593271721
67	0.2578507297
68	0.2564316366
69	0.2549862569
70	0.2535886684
71	0.2522122072
72	0.2507835814
73	0.2493792184
74	0.2479476972
75	0.2465664566
76	0.2451756488
77	0.2437791672
78	0.2424710059
79	0.2411051511
80	0.2397349653
81	0.2384267616
82	0.2370857198
83	0.2358117045
84	0.2345712658
85	0.2333583909
86	0.2321102103
87	0.2308435615
88	0.229657228
89	0.228465445
90	0.2272752176
91	0.2261204009
92	0.2249504439
93	0.2238302431
94	0.222674617
95	0.2215720941
96	0.2204520947
97	0.2194202531
98	0.2183078764
99	0.2171740583
100	0.216107116
101	0.2149777582
102	0.2139932009
103	0.2129249476
104	0.2119039487
105	0.2108435273
106	0.2098500965
107	0.2089130149
108	0.207971859
109	0.2070284995
110	0.2060240439
111	0.2050118897
112	0.2041188075
113	0.2031989991
114	0.2022564015
115	0.2013274559
116	0.2003609161
117	0.1994678008
118	0.1985505771
119	0.1976093152
120	0.1967252619
121	0.1959564336
122	0.1950300719
123	0.1941092272
124	0.1933021246
125	0.1925058021
126	0.1916829933
127	0.1908092104
128	0.1899974307
129	0.1892073647
130	0.1884144374
131	0.1876217063
132	0.1868254943
133	0.1860674941
134	0.1852884858
135	0.1845637026
136	0.1838267741
137	0.1830953406
138	0.1823528236
139	0.181577516
140	0.1808821455
141	0.1801443935
142	0.1794392794
143	0.1787144176
144	0.1780076413
145	0.1773147207
146	0.1766420636
147	0.1760192774
148	0.1753504291
149	0.1746986293
150	0.1740801619
151	0.1734538701
152	0.1727778476
153	0.1720835112
154	0.1714146725
155	0.1707241352
156	0.1701140361
157	0.1694434437
158	0.1687781585
159	0.1681866368
160	0.1675193594
161	0.1669443659
162	0.1663368929
163	0.1657668919
164	0.1651800574
165	0.164592518
166	0.1640307555
167	0.1634427075
168	0.1629338863
169	0.1623047383
170	0.1617823864
171	0.1612504053
172	0.1607527855
173	0.1602739357
174	0.1597699835
175	0.1592310596
176	0.1586972647
177	0.1581928482
178	0.157672993
179	0.1571657542
180	0.1566329396
181	0.156129769
182	0.155626918
183	0.1551031356
184	0.1545726126
185	0.1541188053
186	0.1536089184
187	0.1531387587
188	0.1526584368
189	0.1521881281
190	0.1517169909
191	0.1512569686
192	0.1508348051
193	0.150351827
194	0.1499157145
195	0.1494805878
196	0.1490401059
197	0.1485799344
198	0.1481168973
199	0.1477092931
200	0.1472270031
201	0.1468241651
202	0.1464106917
203	0.1459877932
204	0.1455450512
205	0.1451176307
206	0.1446835457
207	0.1442977016
208	0.1439615796
209	0.1435868343
210	0.1431592253
211	0.1427855105
212	0.142477611
213	0.1420834175
214	0.1416514272
215	0.1412407636
216	0.1408761077
217	0.1405274919
218	0.1401915121
219	0.139869024
220	0.1394379007
221	0.1390492767
222	0.13870672
223	0.1383689654
224	0.1379782292
225	0.1376778099
226	0.1373110742
227	0.1370046277
228	0.1366766567
229	0.1363654385
230	0.1360345163
231	0.1356907484
232	0.1353579492
233	0.1350587611
234	0.134718132
235	0.1343753803
236	0.1340699813
237	0.1337400608
238	0.1334023949
239	0.1330385059
240	0.1327196601
241	0.1323778323
242	0.1320711569
243	0.1317410059
244	0.1314644099
245	0.131178774
246	0.1308419072
247	0.1305111239
248	0.1302467302
249	0.1299656795
250	0.1296581605
251	0.1293673904
252	0.1290703017
253	0.1287686781
254	0.1284965245
255	0.1282469267
256	0.1279682518
257	0.1277410915
258	0.1274291498
259	0.1271490129
260	0.1269095223
261	0.1266614611
262	0.126430776
263	0.1262020796
264	0.1259585543
265	0.125705853
266	0.1254987571
267	0.1252614431
268	0.1249911104
269	0.1247289515
270	0.1244639032
271	0.1242559884
272	0.1240221636
273	0.1237786478
274	0.1235398266
275	0.1233029057
276	0.1230537881
277	0.1228094318
278	0.1225611954
279	0.1223517502
280	0.1220961736
281	0.1218893532
282	0.1216541281
283	0.1214127584
284	0.1211774203
285	0.1209477104
286	0.1206852123
287	0.1204703965
288	0.1202327578
289	0.1200151877
290	0.1197993512
291	0.1195462799
292	0.1193118147
293	0.1190942132
294	0.1188992232
295	0.1186995216
296	0.1184963496
297	0.1183099646
298	0.1181344915
299	0.1179368104
300	0.1177694464
301	0.1175364425
302	0.1173534257
303	0.1171197422
304	0.116926075
305	0.1166997504
306	0.1165138033
307	0.1163219178
308	0.1161154734
309	0.1159277784
310	0.1157114535
311	0.1155183575
312	0.1153307382
313	0.1151402418
314	0.1149631966
315	0.1147813486
316	0.1145886824
317	0.1143951539
318	0.1141905442
319	0.1140264769
320	0.1138448539
321	0.1136714893
322	0.1134805032
323	0.1133029507
324	0.113147062
325	0.112948614
326	0.1127795318
327	0.1126373449
328	0.1124424154
329	0.1122601854
330	0.1120704321
331	0.1119115334
332	0.1117316014
333	0.1115780045
334	0.1114457426
335	0.1112653335
336	0.1110921589
337	0.1109565819
338	0.1108152471
339	0.110645466
340	0.1105044187
341	0.1103436284
342	0.110164052
343	0.1099837815
344	0.1098226433
345	0.1096884938
346	0.1095273187
347	0.1093445188
348	0.1092021412
349	0.109020798
350	0.1088704773
351	0.1087273034
352	0.1086079815
353	0.1084528437
354	0.1083068135
355	0.1081647039
356	0.1080153687
357	0.1078604224
358	0.1077250434
359	0.1075576199
360	0.1074236238
361	0.107269354
362	0.107128757
363	0.1069924912
364	0.1068590825
365	0.1067023301
366	0.106576566
367	0.1064181654
368	0.1062588182
369	0.1061331571
370	0.1059972429
371	0.105850978
372	0.1057202778
373	0.1055705106
374	0.1054524793
375	0.1053107183
376	0.1052011948
377	0.1050821293
378	0.1049428843
379	0.1048240902
380	0.1047228676
381	0.1045952448
382	0.1044651816
383	0.1043554401
384	0.1042172281
385	0.1040930207
386	0.1039728546
387	0.1038656327
388	0.1037296611
389	0.1036359413
390	0.1034933833
391	0.1033658679
392	0.1032405196
393	0.1030997795
394	0.1029581455
395	0.1028511009
396	0.1027135285
397	0.1026114093
398	0.1024649251
399	0.1023310509
400	0.1022483003
401	0.1021277039
402	0.1020102492
403	0.1018917118
404	0.1017566768
405	0.1016506442
406	0.1015320891
407	0.1014345553
408	0.101335875
409	0.1012257893
410	0.1011066875
411	0.1010008299
412	0.1009009424
413	0.1007972231
414	0.1006737831
415	0.1005449617
416	0.1004525439
417	0.1003318661
418	0.1002476012
419	0.1001609503
420	0.1000607982
421	0.09996380124
422	0.09984756094
423	0.09975445096
424	0.09963401261
425	0.09953808525
426	0.09940361938
427	0.09929208392
428	0.09919536247
429	0.09908103059
430	0.09896567912
431	0.09889768984
432	0.09879482308
433	0.09870588924
434	0.09860457647
435	0.09850910073
436	0.09841576328
437	0.09830381853
438	0.09822333982
439	0.09811685126
440	0.09803606823
441	0.0979230395
442	0.09781080087
443	0.09771036404
444	0.09761467658
445	0.09754058287
446	0.09745352916
447	0.09735864054
448	0.0972716419
449	0.09720294831
450	0.09713926612
451	0.097038019
452	0.09696544144
453	0.09686855133
454	0.09677980101
455	0.09669648122
456	0.09660924662
457	0.09648335015
458	0.0963872379
459	0.0962998603
460	0.09621313457
461	0.09611928028
462	0.09602114005
463	0.09587423412
464	0.09579901432
465	0.09568344124
466	0.09559255181
467	0.09548823077
468	0.09540819149
469	0.09530314305
470	0.09521004373
471	0.09512782956
472	0.09505696373
473	0.09496598318
474	0.09490224483
475	0.09483603522
476	0.0947593309
477	0.09471020078
478	0.09462427913
479	0.09451131136
480	0.09443137674
481	0.09434966837
482	0.09425338629
483	0.09414464425
484	0.09406951032
485	0.09399989412
486	0.09391041523
487	0.09383851469
488	0.0937394337
489	0.09363736033
490	0.09358043984
491	0.09350211075
492	0.0934275253
493	0.0933583865
494	0.09325583191
495	0.0931824618
496	0.09309694033
497	0.09303322108
498	0.09296597989
499	0.09286377784
500	0.09278573455
501	0.09268911123
502	0.09260027383
503	0.09250671974
504	0.09240671496
505	0.09233493163
506	0.09225910956
507	0.09219266818
508	0.09209850009
509	0.0920195615
510	0.09192816936
511	0.09185440055
512	0.09178921685
513	0.09172650362
514	0.09164004209
515	0.09158766675
516	0.09150431031
517	0.09144318063
518	0.09137134598
519	0.09130802301
520	0.09123825
521	0.09116868565
522	0.09111748171
523	0.0910388667
524	0.09095190703
525	0.09089279989
526	0.09081949172
527	0.09075064393
528	0.09066876961
529	0.09061065049
530	0.09054961873
531	0.09048187473
532	0.09041845075
533	0.09036039866
534	0.09028545332
535	0.09019285192
536	0.09013778379
537	0.09007879015
538	0.09002149145
539	0.08995809403
540	0.08987688463
541	0.08981279858
542	0.08973491135
543	0.08964855319
544	0.08958623197
545	0.08953815981
546	0.08949119782
547	0.08944002003
548	0.08937251185
549	0.08930489173
550	0.08921753909
551	0.08915543224
552	0.08909847752
553	0.08903717536
554	0.08898456205
555	0.0889189645
556	0.08885180498
557	0.08877052764
558	0.08870869606
559	0.08865270629
560	0.08859420363
561	0.08853728788
562	0.08846811696
563	0.08841590975
564	0.08836221213
565	0.08829700033
566	0.08823722462
567	0.0881557929
568	0.08809441488
569	0.08801287716
570	0.08792199859
571	0.08786655748
572	0.08780365115
573	0.08771196565
574	0.08764383069
575	0.08759402242
576	0.08752126966
577	0.08745820676
578	0.0873934635
579	0.08733036236
580	0.08725760487
581	0.08720508022
582	0.08715441948
583	0.08708165021
584	0.08702991325
585	0.08698216323
586	0.08691637878
587	0.08688117922
588	0.08682789517
589	0.08677341813
590	0.086713762
591	0.08667901182
592	0.08662900163
593	0.08656845285
594	0.08651574046
595	0.08644075507
596	0.0863862434
597	0.08634867062
598	0.08627463993
599	0.08623203549
600	0.08615723597
601	0.08608497913
602	0.08601214709
603	0.08596133977
604	0.08591253874
605	0.08583741459
606	0.08577017052
607	0.08571437716
608	0.08565801814
609	0.08558774293
610	0.08551138307
611	0.08545828269
612	0.08541094864
613	0.08534834355
614	0.085289258
615	0.08522582613
616	0.08517723938
617	0.08511490048
618	0.08507183816
619	0.08501985536
620	0.08494185238
621	0.08489104124
622	0.084824343
623	0.08475983862
624	0.08469045857
625	0.08463257394
626	0.08455677884
627	0.08451740917
628	0.08447333282
629	0.08441456693
630	0.08435505104
