iter	Passed	Remaining
0	2	4497
1	6	5059
2	9	5191
3	23	9424
4	28	9142
5	36	9607
6	40	9325
7	43	8593
8	51	9103
9	53	8546
10	56	8207
11	60	8011
12	64	7881
13	67	7592
14	70	7401
15	73	7276
16	76	7141
17	83	7303
18	86	7218
19	91	7241
20	94	7069
21	100	7192
22	104	7157
23	107	7049
24	109	6906
25	114	6920
26	117	6829
27	120	6741
28	122	6634
29	127	6688
30	130	6605
31	133	6545
32	135	6448
33	142	6575
34	145	6485
35	148	6434
36	153	6496
37	156	6429
38	159	6388
39	161	6310
40	166	6342
41	169	6273
42	172	6235
43	174	6167
44	183	6355
45	186	6287
46	190	6287
47	196	6341
48	201	6369
49	211	6550
50	216	6583
51	222	6609
52	224	6567
53	227	6527
54	231	6510
55	233	6450
56	237	6418
57	239	6368
58	245	6403
59	247	6355
60	250	6325
61	255	6346
62	265	6488
63	272	6533
64	278	6565
65	286	6665
66	289	6612
67	292	6584
68	297	6610
69	301	6593
70	304	6549
71	311	6601
72	313	6557
73	316	6528
74	321	6545
75	326	6540
76	328	6495
77	331	6466
78	334	6447
79	337	6420
80	340	6378
81	355	6579
82	357	6542
83	365	6590
84	367	6546
85	370	6519
86	376	6541
87	379	6516
88	381	6478
89	386	6484
90	389	6455
91	392	6435
92	395	6402
93	402	6450
94	405	6418
95	407	6391
96	411	6372
97	415	6370
98	417	6336
99	420	6313
100	422	6276
101	428	6286
102	430	6256
103	433	6236
104	436	6217
105	454	6406
106	460	6431
107	472	6520
108	474	6497
109	484	6568
110	487	6535
111	492	6548
112	495	6516
113	498	6491
114	500	6462
115	506	6484
116	513	6512
117	527	6626
118	532	6623
119	536	6620
120	540	6608
121	548	6643
122	551	6622
123	555	6610
124	564	6661
125	568	6645
126	572	6643
127	576	6629
128	578	6597
129	584	6609
130	587	6588
131	590	6562
132	593	6541
133	598	6553
134	602	6533
135	604	6505
136	609	6513
137	613	6497
138	616	6478
139	619	6455
140	625	6467
141	628	6449
142	631	6429
143	640	6475
144	643	6460
145	648	6458
146	651	6438
147	654	6419
148	656	6393
149	661	6394
150	664	6372
151	675	6430
152	679	6424
153	682	6406
154	690	6432
155	704	6525
156	711	6540
157	718	6561
158	721	6534
159	724	6524
160	727	6503
161	746	6622
162	748	6600
163	768	6726
164	774	6740
165	784	6773
166	794	6815
167	797	6799
168	800	6774
169	807	6789
170	809	6765
171	822	6831
172	825	6806
173	828	6786
174	835	6803
175	853	6905
176	856	6889
177	860	6874
178	863	6855
179	867	6841
180	878	6889
181	883	6883
182	886	6861
183	889	6842
184	891	6819
185	900	6844
186	902	6817
187	905	6799
188	909	6786
189	914	6785
190	916	6761
191	929	6818
192	932	6794
193	942	6827
194	957	6901
195	968	6936
196	971	6919
197	977	6918
198	979	6895
199	982	6875
200	984	6851
201	992	6869
202	995	6848
203	997	6828
204	1001	6817
205	1009	6831
206	1021	6874
207	1023	6852
208	1030	6861
209	1034	6844
210	1037	6826
211	1040	6812
212	1043	6796
213	1046	6777
214	1050	6765
215	1053	6748
216	1055	6729
217	1057	6705
218	1060	6687
219	1062	6665
220	1067	6661
221	1072	6657
222	1075	6641
223	1077	6618
224	1082	6612
225	1084	6593
226	1086	6571
227	1089	6554
228	1093	6543
229	1096	6531
230	1098	6510
231	1101	6493
232	1103	6472
233	1109	6476
234	1111	6457
235	1114	6442
236	1117	6428
237	1120	6410
238	1123	6395
239	1125	6377
240	1128	6361
241	1132	6357
242	1136	6345
243	1138	6325
244	1143	6321
245	1149	6327
246	1152	6312
247	1157	6308
248	1159	6293
249	1161	6274
250	1164	6259
251	1168	6249
252	1171	6235
253	1173	6217
254	1176	6203
255	1186	6231
256	1194	6244
257	1200	6244
258	1203	6231
259	1206	6215
260	1209	6205
261	1211	6188
262	1214	6174
263	1216	6157
264	1224	6170
265	1227	6154
266	1229	6140
267	1233	6130
268	1236	6118
269	1238	6101
270	1241	6086
271	1243	6070
272	1248	6068
273	1253	6066
274	1269	6119
275	1274	6115
276	1277	6101
277	1279	6086
278	1281	6069
279	1286	6066
280	1289	6051
281	1292	6038
282	1294	6024
283	1296	6007
284	1301	6007
285	1304	5993
286	1307	5980
287	1309	5965
288	1320	5988
289	1321	5971
290	1327	5970
291	1329	5955
292	1332	5942
293	1334	5927
294	1339	5927
295	1342	5916
296	1345	5903
297	1347	5888
298	1363	5933
299	1366	5921
300	1369	5908
301	1371	5893
302	1373	5881
303	1379	5878
304	1381	5867
305	1383	5851
306	1386	5840
307	1391	5837
308	1394	5825
309	1397	5814
310	1399	5799
311	1402	5791
312	1405	5779
313	1415	5796
314	1419	5788
315	1421	5777
316	1424	5764
317	1434	5784
318	1452	5832
319	1471	5887
320	1474	5875
321	1477	5862
322	1479	5847
323	1483	5843
324	1486	5832
325	1489	5821
326	1491	5807
327	1499	5814
328	1503	5809
329	1513	5824
330	1515	5810
331	1518	5799
332	1521	5789
333	1525	5783
334	1528	5770
335	1531	5760
336	1534	5749
337	1537	5740
338	1539	5727
339	1542	5716
340	1544	5703
341	1550	5702
342	1552	5689
343	1555	5678
344	1557	5665
345	1562	5661
346	1564	5647
347	1567	5638
348	1569	5625
349	1573	5619
350	1575	5606
351	1578	5597
352	1580	5584
